County,Stream,Location,Type,Fishing Season,Possession Season,"Brook Trout
Minimum Size
Limit (inches)","Brown Trout
Minimum Size
Limit (inches)","Atlantic, Chinook,
Coho & Pink Salmon,
Lake Trout, Rainbow
Trout(Steelhead)
& Splake
Minimum Size Limit
(inches)","All Trout and
Salmon Daily
Possession
Limit "
Alcona,Au Sable River Mainstream,from Evans Rd. (McKinley Bridge) downstream to 4001 Bridge.,2,Last Sat. in April - Sep. 30,Last Sat. in April - Sep. 30,"10""","12""","10""","5 fish, but no more than 3 trout 15"" or greater"
Alcona,Au Sable River Mainstream,from Alcona Dam to S. Branch River,4,Open All Year,"Last Sat. in April - Sep. 30 for Brook Trout, Brown Trout, and Atlantic Salmon Open all year for all other Trout and Salmon","7""","10""","10""","5 fish, but no more than 3 trout 15"" or greater"
Alcona,Black River,from confuence with N. Branch Black River downstream to Lake Huron.,4,Open All Year,"Last Sat. in April - Sep. 30 for Brook Trout, Brown Trout, and Atlantic Salmon Open all year for all other Trout and Salmon","7""","10""","10""","5 fish, but no more than 3 trout 15"" or greater"
Alcona,Pine River,from F-41 downstream to Lake Huron.,3,Open All Year,Open All Year,"15""","15""","10""","5 fish, but no more than 3 trout 15"" or greater"
Alger,Anna River,"from Railroad Bridge (T46N, R19W, S14) downstream to L. Superior.",4,Open All Year,"Last Sat. in April - Sep. 30 for Brook Trout, Brown Trout, and Atlantic Salmon Open all year for all other Trout and Salmon","7""","10""","10""","5 fish, but no more than 3 trout 15"" or greater"
Alger,Au Train River,from Powerhouse below M-94 downstream to L. Superior.,4,Open All Year,"Last Sat. in April - Sep. 30 for Brook Trout, Brown Trout, and Atlantic Salmon Open all year for all other Trout and Salmon","7""","10""","10""","5 fish, but no more than 3 trout 15"" or greater"
Alger,Hurricane River,"from Truck Trail (CO Rd 724, T49N, R15W, S25) downstream to L. Superior.",3,Open All Year,Open All Year,"15""","15""","10""","5 fish, but no more than 3 trout 15"" or greater"
Alger,Laughing Whitefsh River,"from Forks (T47N, R22W, S22) downstream to L. Superior.",4,Open All Year,"Last Sat. in April - Sep. 30 for Brook Trout, Brown Trout, and Atlantic Salmon Open all year for all other Trout and Salmon","7""","10""","10""","5 fish, but no more than 3 trout 15"" or greater"
Alger,Miner’s River,from Miner’s Falls downstream to L. Superior.,4,Open All Year,"Last Sat. in April - Sep. 30 for Brook Trout, Brown Trout, and Atlantic Salmon Open all year for all other Trout and Salmon","7""","10""","10""","5 fish, but no more than 3 trout 15"" or greater"
Alger,Rock River,"from Railroad Bridge (T47N, R21W, S22) downstream to L. Superior. SC - Closed to Fishing - April 1 – Jun. 30 between dam and its downstream-most foot bridge located downstream from M-28 in T47N, R21W, S15.",4,Open All Year,"Last Sat. in April - Sep. 30 for Brook Trout, Brown Trout, and Atlantic Salmon Open all year for all other Trout and Salmon","7""","10""","10""","5 fish, but no more than 3 trout 15"" or greater"
Alger,Sable Creek,,4,Open All Year,"Last Sat. in April - Sep. 30 for Brook Trout, Brown Trout, and Atlantic Salmon Open all year for all other Trout and Salmon","7""","10""","10""","5 fish, but no more than 3 trout 15"" or greater"
Alger,Sucker River,upstream limit is old Grand Marais/ Seney Road Bridge.,4,Open All Year,"Last Sat. in April - Sep. 30 for Brook Trout, Brown Trout, and Atlantic Salmon Open all year for all other Trout and Salmon","7""","10""","10""","5 fish, but no more than 3 trout 15"" or greater"
Allegan,Black River Mainstream,from confuence of North and South branches down to L. Michigan.,3,Open All Year,Open All Year,"15""","15""","10""","5 fish, but no more than 3 trout 15"" or greater"
Allegan,Gun River Mainstream,"from 122nd Ave. (T2N, R11W, S12) downstream to US 131 Bridge (T1N, R11W, S18).",4,Open All Year,"Last Sat. in April - Sep. 30 for Brook Trout, Brown Trout, and Atlantic Salmon Open all year for all other Trout and Salmon","7""","10""","10""","5 fish, but no more than 3 trout 15"" or greater"
Allegan,Kalamazoo River,"from Calkins Dam (T2N, R14W, S15) downstream to US-31.",3,Open All Year,Open All Year,"15""","15""","10""","5 fish, but no more than 3 trout 15"" or greater"
Allegan,Middle Branch Black River,"from confuence of Spring Brook Creek (T1N, R15W, S22) downstream to confuence of Main Branch Black River",4,Open All Year,"Last Sat. in April - Sep. 30 for Brook Trout, Brown Trout, and Atlantic Salmon Open all year for all other Trout and Salmon","7""","10""","10""","5 fish, but no more than 3 trout 15"" or greater"
Allegan,North Branch Black River,"from 111th Ave. (T1N, R16W, S3) downstream to confuence with Mainstream.",3,Open All Year,Open All Year,"15""","15""","10""","5 fish, but no more than 3 trout 15"" or greater"
Allegan,Pine Creek Tributary,"from 101st Ave. to confuence with Pine Creek (T1N, R12W, S33).",4,Open All Year,"Last Sat. in April - Sep. 30 for Brook Trout, Brown Trout, and Atlantic Salmon Open all year for all other Trout and Salmon","7""","10""","10""","5 fish, but no more than 3 trout 15"" or greater"
Allegan,Rabbit River Mainstream,"from US-131 Bridge (T4N, R11W, S31) downstream to confuence with Kalamazoo River (T3N, R15W, S16)",4,Open All Year,"Last Sat. in April - Sep. 30 for Brook Trout, Brown Trout, and Atlantic Salmon Open all year for all other Trout and Salmon","7""","10""","10""","5 fish, but no more than 3 trout 15"" or greater"
Allegan,Silver Creek,"from M-89 Bridge (T1N, R11W, S26) downstream to confuence with Kalamazoo River.",2,Last Sat. in April - Sep. 30,Last Sat. in April - Sep. 30,"10""","12""","10""","5 fish, but no more than 3 trout 15"" or greater"
Allegan,Swan Creek,"from 109th Ave. (T1N, R14W, S7) downstream to confuence with Kalamazoo River (T2N, R14W, S9). Hook Restriction: On Swan Creek from mouth upstream to the dam at 118th Ave. it shall be unlawful to use other than one single-pointed unweighted hook measuring 1/2"" or less from point to shank.",4,Open All Year,"Last Sat. in April - Sep. 30 for Brook Trout, Brown Trout, and Atlantic Salmon Open all year for all other Trout and Salmon","7""","10""","10""","5 fish, but no more than 3 trout 15"" or greater"
Alpena,Devils River,from US-23 Bridge downstream to L. Huron.,4,Open All Year,"Last Sat. in April - Sep. 30 for Brook Trout, Brown Trout, and Atlantic Salmon Open all year for all other Trout and Salmon","7""","10""","10""","5 fish, but no more than 3 trout 15"" or greater"
Alpena,Long Lake Creek,downstream limit is L. Huron.,4,Open All Year,"Last Sat. in April - Sep. 30 for Brook Trout, Brown Trout, and Atlantic Salmon Open all year for all other Trout and Salmon","7""","10""","10""","5 fish, but no more than 3 trout 15"" or greater"
Alpena,Thunder Bay River,from Ninth Street Dam downstream to L. Huron,3,Open All Year,Open All Year,"15""","15""","10""","5 fish, but no more than 3 trout 15"" or greater"
Antrim,Clam River,from Clam Lake downstream to the end of the dock at the confuence with Torch Lake.,4,Open All Year,"Last Sat. in April - Sep. 30 for Brook Trout, Brown Trout, and Atlantic Salmon Open all year for all other Trout and Salmon","7""","10""","10""","5 fish, but no more than 3 trout 15"" or greater"
Antrim,Elk River,from Power Dam below Elk Lake downstream to L. Michigan.,3,Open All Year,Open All Year,"15""","15""","10""","5 fish, but no more than 3 trout 15"" or greater"
Antrim,Elk River Bypass,from Bypass Dam downstream to L. Michigan.,4,Open All Year,"Last Sat. in April - Sep. 30 for Brook Trout, Brown Trout, and Atlantic Salmon Open all year for all other Trout and Salmon","7""","10""","10""","5 fish, but no more than 3 trout 15"" or greater"
Antrim,Grass River,from Lake Bellaire downstream to Clam Lake.,4,Open All Year,"Last Sat. in April - Sep. 30 for Brook Trout, Brown Trout, and Atlantic Salmon Open all year for all other Trout and Salmon","7""","10""","10""","5 fish, but no more than 3 trout 15"" or greater"
Antrim,Intermediate River,from Intermediate Dam downstream to Lake Bellaire. SC - Closed to Fishing - April 1 - May 14 Bellaire Dam to Highway M-88 Bridge.,4,Open All Year,"Last Sat. in April - Sep. 30 for Brook Trout, Brown Trout, and Atlantic Salmon Open all year for all other Trout and Salmon","7""","10""","10""","5 fish, but no more than 3 trout 15"" or greater"
Antrim,Jordan River,"from Graves Crossing (T31N, R6W, S32) downstream to Lake Charlevoix.",4,Open All Year,"Last Sat. in April - Sep. 30 for Brook Trout, Brown Trout, and Atlantic Salmon Open all year for all other Trout and Salmon","7""","10""","10""","5 fish, but no more than 3 trout 15"" or greater"
Antrim,Manistee River,from headwaters downstream to CO. Rd. 612.,2,Last Sat. in April - Sep. 30,Last Sat. in April - Sep. 30,"10""","12""","10""","5 fish, but no more than 3 trout 15"" or greater"
Antrim,Torch River,from Torch Lake downstream to Lake Skegemog. Hook Restriction: From May 1 – July 1 on Torch River from the Crystal Beach Rd Bridge downstream to Lake Skegemog including Rapid River up to Aarwood Rd Bridge it shall be unlawful to use other than one single-pointed unweighted hook measuring ½-inch or less from point to shank.,4,Open All Year,"Last Sat. in April - Sep. 30 for Brook Trout, Brown Trout, and Atlantic Salmon Open all year for all other Trout and Salmon","7""","10""","10""","5 fish, but no more than 3 trout 15"" or greater"
Arenac,East Branch Au Gres River (Whitney Drain),from M-55 downstream to Saginaw Bay.,3,Open All Year,Open All Year,"15""","15""","10""","5 fish, but no more than 3 trout 15"" or greater"
Arenac,Rife River,"from Sage Lake Road (T23N, R3E, S22) downstream to Saginaw Bay.",3,Open All Year,Open All Year,"15""","15""","10""","5 fish, but no more than 3 trout 15"" or greater"
Baraga,Big Huron River,"from Big Eric’s Bridge (T52N, R30W, S35) downstream to L. Superior (T52N, R29W, S18).",4 BTRA,Open All Year,"Last Sat. in April - Sep. 30 for Brook Trout, Brown Trout, and Atlantic Salmon Open all year for all other Trout and Salmon","20""","10""","10""","5 fish, but no more than 3 trout 15"" or greater and 1 brook trout"
Baraga,Falls River,from US-41 to L. Superior.,3,Open All Year,Open All Year,"15""","15""","10""","5 fish, but no more than 3 trout 15"" or greater"
Baraga,Otter River,from confuence of N. and W. Br. Otter River downstream to Sturgeon River.,3,Open All Year,Open All Year,"15""","15""","10""","5 fish, but no more than 3 trout 15"" or greater"
Baraga,Ravine River,"from Sicotte Road (T51N, R31W, S2) downstream to Huron Bay (T51N, R31W, S4)",4 BTRA,Open All Year,"Last Sat. in April - Sep. 30 for Brook Trout, Brown Trout, and Atlantic Salmon Open all year for all other Trout and Salmon","20""","10""","10""","5 fish, but no more than 3 trout 15"" or greater and 1 brook trout"
Baraga,Silver River,"from Silver River Falls (T51N, R32W, S26) downstream to Huron Bay (T51N, R31W, S18).",4 BTRA,Open All Year,"Last Sat. in April - Sep. 30 for Brook Trout, Brown Trout, and Atlantic Salmon Open all year for all other Trout and Salmon","20""","10""","10""","5 fish, but no more than 3 trout 15"" or greater and 1 brook trout"
Baraga,Slate River,"from Slate River Falls (1/2 mile upstream from Skanee Road T51N, R31W, S9) downstream to Huron Bay (T51N, R31W, S8).",4 BTRA,Open All Year,"Last Sat. in April - Sep. 30 for Brook Trout, Brown Trout, and Atlantic Salmon Open all year for all other Trout and Salmon","20""","10""","10""","5 fish, but no more than 3 trout 15"" or greater and 1 brook trout"
Baraga,Sturgeon River,from US-41 downstream to Prickett Dam.,2,Last Sat. in April - Sep. 30,Last Sat. in April - Sep. 30,"10""","12""","10""","5 fish, but no more than 3 trout 15"" or greater"
Baraga,Sturgeon River,"from Prickett Dam downstream to L. Superior. SC - Closed to Fishing - April 1 - Jun. 30 from the Prickett Dam downstream to mouth of Clear Creek (T50N, R35W, S12).",3,Open All Year,Open All Year,"15""","15""","10""","5 fish, but no more than 3 trout 15"" or greater"
Barry,Augusta Creek,from Little Gilkey Lake and Fair Lakes outlets downstream to Knappen Mills Dam.,4,Open All Year,"Last Sat. in April - Sep. 30 for Brook Trout, Brown Trout, and Atlantic Salmon Open all year for all other Trout and Salmon","7""","10""","10""","5 fish, but no more than 3 trout 15"" or greater"
Barry,Bassett Creek,from Baker Lake downstream to confuence with Thornapple River,4,Open All Year,"Last Sat. in April - Sep. 30 for Brook Trout, Brown Trout, and Atlantic Salmon Open all year for all other Trout and Salmon","7""","10""","10""","5 fish, but no more than 3 trout 15"" or greater"
Barry,Coldwater River,"from M-43 Bridge (T4N, R8W, S16) downstream to Freeport Road Bridge.",2,Last Sat. in April - Sep. 30,Last Sat. in April - Sep. 30,"10""","12""","10""","5 fish, but no more than 3 trout 15"" or greater"
Barry,Coldwater River,from Freeport Rd. downstream to confuence with Thornapple River.,4,Open All Year,"Last Sat. in April - Sep. 30 for Brook Trout, Brown Trout, and Atlantic Salmon Open all year for all other Trout and Salmon","7""","10""","10""","5 fish, but no more than 3 trout 15"" or greater"
Barry,Turner Creek,"from (T3N, R10W, S23) downstream to confuence with Baker Creek (T3N, R10W, S9).",4,Open All Year,"Last Sat. in April - Sep. 30 for Brook Trout, Brown Trout, and Atlantic Salmon Open all year for all other Trout and Salmon","7""","10""","10""","5 fish, but no more than 3 trout 15"" or greater"
Bay,Saginaw River,,3,Open All Year,Open All Year,"15""","15""","10""","5 fish, but no more than 3 trout 15"" or greater"
Benzie,Betsie River,"from Kurick Rd. downstream to M-22. Year-round —the daily possession limit shall not include more than one (1) Rainbow Trout. SC - Closed to Fishing - Betsie River Homestead Dam - Nov. 16 - July 31 within 100 ft. of the lamprey barrier and fsh passage facility at T25N, R15W, S2. SC - Closed to Fishing - Betsie River Homestead Dam – Aug. 1 – Nov. 15 within 300 ft of lamprey barrier and fsh passage facility. Special Artifcial Lure Regulations: apply Aug. 1 - Nov. 15, see p. 8.",4,Open All Year,"Last Sat. in April - Sep. 30 for Brook Trout, Brown Trout, and Atlantic Salmon Open all year for all other Trout and Salmon","7""","10""","10""","5 fish, but no more than 3 trout 15"" or greater"
Benzie,Otter Creek,"from Otter Lake outlet (T27N, R15W, S13) downstream to L. Michigan.",4,Open All Year,"Last Sat. in April - Sep. 30 for Brook Trout, Brown Trout, and Atlantic Salmon Open all year for all other Trout and Salmon","7""","10""","10""","5 fish, but no more than 3 trout 15"" or greater"
Benzie,Platte River,"from US-31 bridge at Veteran’s Park downstream to L. Michigan. NOTE: The daily possession limit shall not include more than one (1) Rainbow Trout. Hook Restriction: On the Platte River, Benzie Co., it shall be unlawful to use other than one single-pointed unweighted hook measuring 1/2"" or less from point to shank. SC – Closed to Fishing – within 300 ft. of the upper (hatchery) weir infrastructure whenever weir is in place. SC – Closed to Fishing – whenever weir is in place within 300 ft of the lower weir. SC – Closed to Fishing – Jan. 1 – March 31 from US-31 bridge at Veteran’s Park downstream to Platte Lake.",4,Open All Year,"Last Sat. in April - Sep. 30 for Brook Trout, Brown Trout, and Atlantic Salmon Open all year for all other Trout and Salmon","7""","10""","10""","5 fish, but no more than 3 trout 15"" or greater"
Berrien,Blue Creek,,4,Open All Year,"Last Sat. in April - Sep. 30 for Brook Trout, Brown Trout, and Atlantic Salmon Open all year for all other Trout and Salmon","7""","10""","10""","5 fish, but no more than 3 trout 15"" or greater"
Berrien,Dowagiac River (including Dowagiac Drain),from source downstream to confuence with St. Joseph River.,4,Open All Year,"Last Sat. in April - Sep. 30 for Brook Trout, Brown Trout, and Atlantic Salmon Open all year for all other Trout and Salmon","7""","10""","10""","5 fish, but no more than 3 trout 15"" or greater"
Berrien,Galien River Mainstream,downstream limit is L. Michigan.,4,Open All Year,"Last Sat. in April - Sep. 30 for Brook Trout, Brown Trout, and Atlantic Salmon Open all year for all other Trout and Salmon","7""","10""","10""","5 fish, but no more than 3 trout 15"" or greater"
Berrien,"South Branch Galien River Mainstream only,",downstream limit is the confuence with Galien River.,4,Open All Year,"Last Sat. in April - Sep. 30 for Brook Trout, Brown Trout, and Atlantic Salmon Open all year for all other Trout and Salmon","7""","10""","10""","5 fish, but no more than 3 trout 15"" or greater"
Berrien,St. Joseph River,from Indiana state line downstream to L. Michigan.,3,Open All Year,Open All Year,"15""","15""","10""","5 fish, but no more than 3 trout 15"" or greater"
Berrien,Townsend Cr,"(T6S, R17W, S19), and the mouth area of Lake Chapin, to a point 100 yards below the Townsend Cr. mouth into Lake Chapin), Hook Restriction: It is unlawful to use other than one single-pointed, unweighted hook measuring 1/2"" or less from point to shank.",1,Last Sat. in April - Sep. 30,Last Sat. in April - Sep. 30,"7""","8""","10""","5 fish, but no more than 3 trout 15"" or greater"
Branch,Prairie River Mainstream,"from Bowers Road (T8S, R7W, S4) downstream to McKale Road (T7S, R9W, S8).",4,Open All Year,"Last Sat. in April - Sep. 30 for Brook Trout, Brown Trout, and Atlantic Salmon Open all year for all other Trout and Salmon","7""","10""","10""","5 fish, but no more than 3 trout 15"" or greater"
Calhoun,South Branch Rice Creek,from Concord Rd. downstream to confuence with Kalamazoo River.,4,Open All Year,"Last Sat. in April - Sep. 30 for Brook Trout, Brown Trout, and Atlantic Salmon Open all year for all other Trout and Salmon","7""","10""","10""","5 fish, but no more than 3 trout 15"" or greater"
Calhoun,Nottawa Creek,,4,Open All Year,"Last Sat. in April - Sep. 30 for Brook Trout, Brown Trout, and Atlantic Salmon Open all year for all other Trout and Salmon","7""","10""","10""","5 fish, but no more than 3 trout 15"" or greater"
Cass,Curtis Creek and Tributaries,,2,Last Sat. in April - Sep. 30,Last Sat. in April - Sep. 30,"10""","12""","10""","5 fish, but no more than 3 trout 15"" or greater"
Cass,Dowagiac Creek,"from Mckenzie Street (T5S, R14W, S31) downstream to M-62.",2,Last Sat. in April - Sep. 30,Last Sat. in April - Sep. 30,"10""","12""","10""","5 fish, but no more than 3 trout 15"" or greater"
Cass,Mill Creek and Tributaries,"from Preston Road (T7S, R12W, S7) downstream to impoundment at T7S, R12W, S32.",4,Open All Year,"Last Sat. in April - Sep. 30 for Brook Trout, Brown Trout, and Atlantic Salmon Open all year for all other Trout and Salmon","7""","10""","10""","5 fish, but no more than 3 trout 15"" or greater"
Cass,Dowagiac River (including Dowagiac Drain),from source downstream to confuence with St. Joseph River.,4,Open All Year,"Last Sat. in April - Sep. 30 for Brook Trout, Brown Trout, and Atlantic Salmon Open all year for all other Trout and Salmon","7""","10""","10""","5 fish, but no more than 3 trout 15"" or greater"
Charlevoix,Bear River,"from Walloon Lake downstream to northern edge of foot bridge north of Lake Street Hook Restriction: On the Bear River, from the northern edge of foot bridge north of Lake Street upstream to Lake Street Dam (T34N, R5W, S6) it shall be unlawful to use other than one singlepointed unweighted hook measuring 1/2"" or less from point to shank.",4,Open All Year,"Last Sat. in April - Sep. 30 for Brook Trout, Brown Trout, and Atlantic Salmon Open all year for all other Trout and Salmon","7""","10""","10""","5 fish, but no more than 3 trout 15"" or greater"
Charlevoix,Boyne River,"from P. H. (Boyne USA) Dam downstream to Lake Charlevoix. Hook Restriction: On the Boyne River, from the mouth upstream to dam (T32N, R5W, S5) it shall be unlawful to use other than one single-pointed unweighted hook measuring 1/2"" or less from point to shank.",4,Open All Year,"Last Sat. in April - Sep. 30 for Brook Trout, Brown Trout, and Atlantic Salmon Open all year for all other Trout and Salmon","7""","10""","10""","5 fish, but no more than 3 trout 15"" or greater"
Charlevoix,Jordan River,"from Graves Crossing (T31N, R6W, S32) downstream to Lake Charlevoix.",4,Open All Year,"Last Sat. in April - Sep. 30 for Brook Trout, Brown Trout, and Atlantic Salmon Open all year for all other Trout and Salmon","7""","10""","10""","5 fish, but no more than 3 trout 15"" or greater"
Charlevoix,Medusa Creek,"SC - Closed to Fishing - whenever weir is in place. Tributary to L. Michigan (T34N, R8W, S28) and including an area of L. Michigan in a radius of 100 ft from the mouth of Medusa Creek.",,,,,,,
Cheboygan,Cheboygan River,from Cheboygan Dam downstream to L. Huron.,3,Open All Year,Open All Year,"15""","15""","10""","5 fish, but no more than 3 trout 15"" or greater"
Cheboygan,Maple River,from Woodland Rd. in Emmet Co. downstream to mouth.,4,Open All Year,"Last Sat. in April - Sep. 30 for Brook Trout, Brown Trout, and Atlantic Salmon Open all year for all other Trout and Salmon","7""","10""","10""","5 fish, but no more than 3 trout 15"" or greater"
Cheboygan,Mill Creek,,4,Open All Year,"Last Sat. in April - Sep. 30 for Brook Trout, Brown Trout, and Atlantic Salmon Open all year for all other Trout and Salmon","7""","10""","10""","5 fish, but no more than 3 trout 15"" or greater"
Cheboygan,Pigeon River,from Elk Hill Campground Horse Trail to Pine Grove Campground Stairs.,GR,open all year,last Sat. in April – Sep. 30 for Brook Trout and Brown Trout; open all year for Rainbow Trout,"10""","12""","10""",2 trout; with no more than 1 Brown Trout
Cheboygan,Pigeon River,"from Pine Grove Campground Stairs (T33N, R1W, S17) to East Mullet Rd.",4,Open All Year,"Last Sat. in April - Sep. 30 for Brook Trout, Brown Trout, and Atlantic Salmon Open all year for all other Trout and Salmon","7""","10""","10""","5 fish, but no more than 3 trout 15"" or greater"
Cheboygan,Sturgeon River,from Afton Rd. (Also called Webb Rd. or Wolverine Rd.) downstream to mouth at Burt Lake.,4,Open All Year,"Last Sat. in April - Sep. 30 for Brook Trout, Brown Trout, and Atlantic Salmon Open all year for all other Trout and Salmon","7""","10""","10""","5 fish, but no more than 3 trout 15"" or greater"
Chippewa,Albany Creek,from bridge below lamprey weir to L. Huron,4,Open All Year,"Last Sat. in April - Sep. 30 for Brook Trout, Brown Trout, and Atlantic Salmon Open all year for all other Trout and Salmon","7""","10""","10""","5 fish, but no more than 3 trout 15"" or greater"
Chippewa,"Carp River, Mainstream",,4,Open All Year,"Last Sat. in April - Sep. 30 for Brook Trout, Brown Trout, and Atlantic Salmon Open all year for all other Trout and Salmon","7""","10""","10""","5 fish, but no more than 3 trout 15"" or greater"
Chippewa,Halfaday Creek,from Lakeshore Drive downstream to L. Superior.,4,Open All Year,"Last Sat. in April - Sep. 30 for Brook Trout, Brown Trout, and Atlantic Salmon Open all year for all other Trout and Salmon","7""","10""","10""","5 fish, but no more than 3 trout 15"" or greater"
Chippewa,Pendill’s Creek,"from Second Dam (T47N, R4W, S28) downstream to L. Superior.",4,Open All Year,"Last Sat. in April - Sep. 30 for Brook Trout, Brown Trout, and Atlantic Salmon Open all year for all other Trout and Salmon","7""","10""","10""","5 fish, but no more than 3 trout 15"" or greater"
Chippewa,Pine River,from H-40 Bridge downstream to L. Huron.,4,Open All Year,"Last Sat. in April - Sep. 30 for Brook Trout, Brown Trout, and Atlantic Salmon Open all year for all other Trout and Salmon","7""","10""","10""","5 fish, but no more than 3 trout 15"" or greater"
Crawford,Au Sable River Mainstream,"from Business Loop 75 (James St.) downstream to Burton’s Landing (T26N, R3W, S11).",2,Last Sat. in April - Sep. 30,Last Sat. in April - Sep. 30,"10""","12""","10""","5 fish, but no more than 3 trout 15"" or greater"
Crawford,Au Sable River Mainstream,from Burton’s Landing downstream to South Wakeley Bridge Rd. (Wakeley Bridge).,GR,open all year,closed all year; except for children under 12 the possession season is open all year,"8"" Min, 12"" Max","8"" Min, 12"" Max","8"" Min, 12"" Max",zero trout; except children under 12 may keep 1 trout
Crawford,Au Sable River Mainstream,from South Wakeley Bridge Rd. (Wakeley Bridge) to McMasters Bridge Rd. (McMasters Bridge).,GR,open all year,last Sat. in April – Sep. 30 for Brook Trout and Brown Trout; open all year for Rainbow Trout,"10""","18""","10""","2 trout with no more than 1 trout 18"" or greater"
Crawford,Au Sable River Mainstream,"from McMasters Bridge Rd. (McMasters Bridge) downstream to Rainbow Bend power line (T26N, R2E, S3).",4,Open All Year,"Last Sat. in April - Sep. 30 for Brook Trout, Brown Trout, and Atlantic Salmon Open all year for all other Trout and Salmon","7""","10""","10""","5 fish, but no more than 3 trout 15"" or greater"
Crawford,Manistee River,from headwaters downstream to CO. Rd. 612.,2,Last Sat. in April - Sep. 30,Last Sat. in April - Sep. 30,"10""","12""","10""","5 fish, but no more than 3 trout 15"" or greater"
Crawford,Manistee River,from CO. Rd. 612 to M-72.,GR,open all year,last Sat. in April – Sep. 30 for Brook Trout and Brown Trout; open all year for Rainbow Trout,"10""","18""","10""","2 trout; with no more than 1 trout 18"" or greater"
Crawford,Manistee River,"from M-72 downstream to Sunset Trail Rd. (CCC Bridge T26N, R6W, S26).",GR,open all year,last Sat. in April – Sep. 30 for Brook Trout and Brown Trout; open all year for Rainbow Trout,"10""","18""","10""","2 trout; with no more than 1 trout 18"" or greater"
Crawford,North Branch Au Sable River,from Sheep Ranch downstream to confuence with Mainstream.,GR,open all year,last Sat. in April – Sep. 30 for Brook Trout and Brown Trout; open all year for Rainbow Trout,"10""","18""","10""","2 trout with no more than 1 trout 18"" or greater"
Crawford,South Branch Au Sable River,from Chase Bridge Rd. (Chase Bridge) to Lower High Banks,GR,open all year,closed all year; except for children under 12 the possession season is open all year,"8"" Min, 12"" Max","8"" Min, 12"" Max","8"" Min, 12"" Max",zero trout; except children under 12 may keep 1 trout
Crawford,South Branch Au Sable River,from Lower High Banks downstream to confuence with Mainstream.,GR,open all year,last Sat. in April – Sep. 30 for Brook Trout and Brown Trout; open all year for Rainbow Trout,"10""","18""","10""","2 trout with no more than 1 trout 18"" or greater"
Delta,Bark River,"from 9 Road (Section Line Between T38N, R24W, S20 & 29) downstream to L. Michigan.",4,Open All Year,"Last Sat. in April - Sep. 30 for Brook Trout, Brown Trout, and Atlantic Salmon Open all year for all other Trout and Salmon","7""","10""","10""","5 fish, but no more than 3 trout 15"" or greater"
Delta,Big Fishdam River,"from County Road 2222 Bridge (T41N, R18W, S9) downstream to L. Michigan.",4,Open All Year,"Last Sat. in April - Sep. 30 for Brook Trout, Brown Trout, and Atlantic Salmon Open all year for all other Trout and Salmon","7""","10""","10""","5 fish, but no more than 3 trout 15"" or greater"
Delta,Days River,from Highway M-35 Bridge downstream to L. Michigan.,4,Open All Year,"Last Sat. in April - Sep. 30 for Brook Trout, Brown Trout, and Atlantic Salmon Open all year for all other Trout and Salmon","7""","10""","10""","5 fish, but no more than 3 trout 15"" or greater"
Delta,Escanaba River,"from Boney Falls Dam downstream to mouth of Silver Creek (T40N, R23W, S11).",GR,open all year,last Sat. in April - Sep. 30 for Brook Trout and Brown Trout; open all year for Rainbow Trout,"10""","12""","12""",2 trout
Delta,Ford River,"from Northland Truck Trail (T43N, R27W, S35) downstream to L. Michigan.",4,Open All Year,"Last Sat. in April - Sep. 30 for Brook Trout, Brown Trout, and Atlantic Salmon Open all year for all other Trout and Salmon","7""","10""","10""","5 fish, but no more than 3 trout 15"" or greater"
Delta,Rapid River,"from County Road S-15 (T42N, R21W, S19) downstream to L. Michigan.",4,Open All Year,"Last Sat. in April - Sep. 30 for Brook Trout, Brown Trout, and Atlantic Salmon Open all year for all other Trout and Salmon","7""","10""","10""","5 fish, but no more than 3 trout 15"" or greater"
Delta,Sturgeon River,"from County Road 442 Bridge (T42N, R20W, S13) downstream to L. Michigan.",4,Open All Year,"Last Sat. in April - Sep. 30 for Brook Trout, Brown Trout, and Atlantic Salmon Open all year for all other Trout and Salmon","7""","10""","10""","5 fish, but no more than 3 trout 15"" or greater"
Delta,Tacoosh River,from 29th Lane (County Road G-24) downstream to L. Michigan.,4,Open All Year,"Last Sat. in April - Sep. 30 for Brook Trout, Brown Trout, and Atlantic Salmon Open all year for all other Trout and Salmon","7""","10""","10""","5 fish, but no more than 3 trout 15"" or greater"
Delta,Whitefsh River,"from 38th Road (U.S.F.S. 2236) downstream to US-2 bridge in T41N, R21W, S28. Year-round -the daily possession limit shall not include more than one (1) Rainbow Trout.",4,Open All Year,"Last Sat. in April - Sep. 30 for Brook Trout, Brown Trout, and Atlantic Salmon Open all year for all other Trout and Salmon","7""","10""","10""","5 fish, but no more than 3 trout 15"" or greater"
Dickinson,Ford River,"from Northland Truck Trail (T43N, R27W, S35) downstream to L. Michigan.",4,Open All Year,"Last Sat. in April - Sep. 30 for Brook Trout, Brown Trout, and Atlantic Salmon Open all year for all other Trout and Salmon","7""","10""","10""","5 fish, but no more than 3 trout 15"" or greater"
Eaton,Sebewa Creek and Tributaries,,4,Open All Year,"Last Sat. in April - Sep. 30 for Brook Trout, Brown Trout, and Atlantic Salmon Open all year for all other Trout and Salmon","7""","10""","10""","5 fish, but no more than 3 trout 15"" or greater"
